"fmisid","region","iso2","name","latitude","longitude"
104201,"Tornio","FI","Tornio Pudas",65.8414230,24.1718693
104287,"Turku","FI","Turku Aninkaistenkatu",60.4534187,22.2735291
104363,"Turku","FI","Turku Aninkaistensilta",60.4578896,22.2689095
104307,"Turku","FI","Turku Hämeenkatu",60.4542885,22.2873306
100862,"Turku","FI","Turku Kauppatori",60.4519501,22.2676792
107569,"Turku","FI","Turku Kauppatori 2",60.4518318,22.2678299
106797,"Turku","FI","Turku Kauppatori väliaikainen",60.4519997,22.2667999
104323,"Turku","FI","Turku Korppolaismäki",60.4334297,22.2383709
100842,"Turku","FI","Turku Oriketo",60.4769897,22.3094406
104324,"Turku","FI","Turku Puistokatu",60.4464989,22.2527905
104226,"Turku","FI","Turku Ruissalo Kallanpää",60.4308205,22.1258392
100845,"Turku","FI","Turku Ruissalo Saarontie",60.4253197,22.0961094
104336,"Turku","FI","Turku Uudenmaantie",60.4356117,22.2937202
104325,"Turku","FI","Turku Varissuo",60.4423294,22.3564091
104110,"Tuusula","FI","Tuusula (Järvenpääntie)",60.3966599,25.0215607
107280,"Tuusula","FI","Tuusula Vaunukangas",60.4086685,25.0014992
103104,"Vaasa","FI","Vaasa keskusta Vaasanpuistikko",63.0951500,21.6183205
104260,"Vaasa","FI","Vaasan Sähkö",63.1011810,21.6029301
103103,"Vaasa","FI","Vaasa Vesitorni",63.1012115,21.6040707
103137,"Valkeakoski","FI","Valkeakoski Hiekkatekonurmi",61.2715607,24.0284901
104013,"Valkeakoski","FI","Valkeakoski Roukko",61.2840881,24.0188904
104276,"Valkeakoski","FI","Valkeakoski Terveyskeskus, linja 2",61.2714195,24.0309601
103138,"Valkeakoski","FI","Valkeakoski Valkeakosken terveyskeskus",61.2714195,24.0309601
104102,"Vantaa","FI","Vantaa Askisto",60.2810707,24.7789307
103996,"Vantaa","FI","Vantaa Hakunila",60.2787895,25.0934601
104070,"Vantaa","FI","Vantaa Hakunila2",60.2839584,25.0935497
104083,"Vantaa","FI","Vantaa Hämeenlinnanväylä",60.2719612,24.8745098
104103,"Vantaa","FI","Vantaa Helsingin pitäjän kk",60.2831192,24.9794807
104056,"Vantaa","FI","Vantaa Itä-Hakkila",60.2917519,25.1124191
